manifest_version,snapshot_sha256,batch_id,candidate_id,input_sha256,weight
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-01,C0185,c939c8389c9a7ec833835efa95e543a695e170d8ee296ce6056ba2e21918e153,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-01,C0188,183c9e28c9f13681686f92881d87c82edc6f2ca057441bb6cfcce3e5a82ff7bf,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-01,C0200,4f1aa43dc151a57f699e8153ed42a915fdf54c7b723a31a4b3ea6238d4615b53,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-01,C0203,4022ea17cfec94f017170392e157a450ea6882fde329cb7714486021385d420b,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-01,C0205,9800f1a8f265f5ac4e65c0f06b213fc08ee998adee07a158ef15bd62282c8c71,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0001,e53f3c14394dfbd3ec8566f0d842117e8d3f22195c01c7fb41853801a9d2ee6c,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0002,a30c35f26e36fa5a2528317f92dc10010ef4fe4bd65945f02846a7d6c9ff502b,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0009,a70472dbc42317a4b69529f3b7ee2c1f548c59a8967c0d1d5af5a4c720f7c3e6,5
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0011,2e0bd767a5bf524f04c7ee44567d6c470d69eb9ca90670c815765abb57555bd1,6
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0013,79f00cb9df58667eaa78e4996feb77fa05d7e789aeb3460c75ecc3fcad97a63c,7
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0018,ea053c0ae3edeb292b62dae6dc19cb507db7327d4c07398c18cd6dabee123bf4,4
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0031,31f1e050d39d2d751ffac6224ac5cb201a144050f2b538dded235de68eda85c7,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0033,25aa2d8f655c64c9c1e8b53d2cdb9f3378d758893c51e626aaadf63769f6ca60,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0037,fa53c0089aa85ef0e4736d339bd7136a889ea1e4964ce09e836105d43fda481f,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0041,2cdaf5f6e7f9c1df48c6366a737f831a5057f9be46fe4fa767aab300c40d9236,3
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0065,c3c52c1874b175191a1132c2356568eb99b6bd98147463a4068557e2ea7afecc,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0067,444481fadb85a220d7910452e9f1503717aef71283bd57778589fc82f1c0b517,3
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0071,2ab7499a60946dc220840a32d1a5991feaa8f32fae4d82387e7a6408a2b476b2,1
