candidate_id,cite_key,entry_type,key_author,authors,author_kinds,title,year,venue_field,venue,doi,url
C0137,Han2021PreliminaryEvaluation,inproceedings,Han,Seunghee Han; Jaeuk Kim; Geon Kim; Jaemin Cho; Jiin Kim; Shin Yoo,personal;personal;personal;personal;personal;personal,Preliminary Evaluation of Path-aware Crossover Operators for Search-Based Test Data Generation for Autonomous Driving,2021,booktitle,2021 IEEE/ACM 14th International Workshop on Search-Based Software Testing (SBST),10.1109/sbst52555.2021.00020,
C0149,Havenstrm2021DeepReinforcement,article,Havenstrøm,Simen Theie Havenstrøm; Adil Rasheed; Omer San,personal;personal;personal,Deep Reinforcement Learning Controller for 3D Path Following and Collision Avoidance by Autonomous Underwater Vehicles,2021,journal,Frontiers in Robotics and AI,10.3389/frobt.2020.566037,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2020.566037/full
C0038,Heilmeier2020MinimumCurvature,article,Heilmeier,Alexander Heilmeier; Alexander Wischnewski; Leonhard Hermansdorfer; Johannes Betz; Markus Lienkamp; Boris Lohmann,personal;personal;personal;personal;personal;personal,Minimum curvature trajectory planning and control for an autonomous race car,2020,journal,Vehicle System Dynamics,10.1080/00423114.2019.1631455,
C0070,Hendrikx2013ProceduralContent,article,Hendrikx,Mark Hendrikx; Sebastiaan Meijer; Joeri Van Der Velden; Alexandru Iosup,personal; personal; personal; personal,Procedural Content Generation for Games: A Survey,2013,journal,"ACM Transactions on Multimedia Computing, Communications, and Applications",10.1145/2422956.2422957,
C0058,Henrich2025GenerationGameplay,article,Henrich,Lasse Henrich;Falko Kötter,personal;personal,From Generation to Gameplay: Authoring Race Tracks With Repulsive Curves,2025,journal,IEEE Transactions on Games,10.1109/tg.2025.3561107,
C0119,Herman2021LearnRace,inproceedings,Herman,James Herman; Jonathan Francis; Siddha Ganju; Bingqing Chen; Anirudh Koul; Abhinav Gupta; Alexey Skabelkin; Ivan Zhukov; Max Kumskoy; Eric Nyberg,personal; personal; personal; personal; personal; personal; personal; personal; personal; personal,Learn-To-Race: A Multimodal Control Environment for Autonomous Racing,2021,booktitle,Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv48922.2021.00965,https://openaccess.thecvf.com/content/ICCV2021/html/Herman_Learn-To-Race_A_Multimodal_Control_Environment_for_Autonomous_Racing_ICCV_2021_paper.html
C0138,Herremans2023AutonomousPort,inproceedings,Herremans,Siemen Herremans;Ali Anwar;Arne Troch;Ian Ravijts;Maarten Vangeneugden;Siegfried Mercelis;Peter Hellinckx,personal;personal;personal;personal;personal;personal;personal,Autonomous Port Navigation With Ranging Sensors Using Model-Based Reinforcement Learning,2023,booktitle,"ASME 2023 42nd International Conference on Ocean, Offshore and Arctic Engineering",10.1115/omae2023-104455,
C0107,Humeniuk2022SearchBased,article,Humeniuk,Dmytro Humeniuk; Foutse Khomh; Giuliano Antoniol,personal;personal;personal,A Search-Based Framework for Automatic Generation of Testing Environments for Cyber-Physical Systems,2022,journal,Information and Software Technology,10.1016/j.infsof.2022.106936,
C0108,Humeniuk2023AmbieGenSearch,article,Humeniuk,Dmytro Humeniuk; Foutse Khomh; Giuliano Antoniol,personal;personal;personal,AmbieGen: A search-based framework for autonomous systems testing,2023,journal,Science of Computer Programming,10.1016/j.scico.2023.102990,
C0145,Humeniuk2024ReinforcementLearning,article,Humeniuk,Dmytro Humeniuk;Foutse Khomh;Giuliano Antoniol,personal;personal;personal,Reinforcement Learning Informed Evolutionary Search for Autonomous Systems Testing,2024,journal,ACM Transactions on Software Engineering and Methodology,10.1145/3680468,
C0150,Hwang2022NavigationScenario,article,Hwang,Taemin Hwang; Ik-Hyun Youn,personal;personal,Navigation Scenario Permutation Model for Training of Maritime Autonomous Surface Ship Remote Operators,2022,journal,Applied Sciences,10.3390/app12031651,https://www.mdpi.com/2076-3417/12/3/1651
C0008,Ikram2023ProceduralGeneration,inproceedings,Ikram,Zarif Ikram; Golam Md Muktadir; Jim Whitehead,personal;personal;personal,Procedural Generation of Complex Roundabouts for Autonomous Vehicle Testing,2023,booktitle,2023 IEEE Intelligent Vehicles Symposium (IV),10.1109/iv55152.2023.10186533,
C0088,IndyAutonomousChallengeNodateIndyAutonomous,misc,IndyAutonomousChallenge,Indy Autonomous Challenge,corporate,Indy Autonomous Challenge,,howpublished,Official competition website,,https://www.indyautonomouschallenge.com/
C0188,IsaacLabNodateIsaacLab,misc,IsaacLab,The Isaac Lab Project Developers,corporate,isaaclab.terrains.terrain_generator,2026,howpublished,Isaac Lab Documentation,,https://isaac-sim.github.io/IsaacLab/main/_modules/isaaclab/terrains/terrain_generator.html
C0123,Jahangirova2021QualityMetrics,inproceedings,Jahangirova,Gunel Jahangirova; Andrea Stocco; Paolo Tonella,personal;personal;personal,Quality Metrics and Oracles for Autonomous Vehicles Testing,2021,booktitle,"2021 14th IEEE Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst49551.2021.00030,
C0042,Jain2020ComputingRacing,inproceedings,Jain,Achin Jain; Manfred Morari,personal;personal,Computing the racing line using Bayesian optimization,2020,booktitle,2020 59th IEEE Conference on Decision and Control (CDC),10.1109/cdc42340.2020.9304147,
C0173,Jain2021BayesRaceLearning,inproceedings,Jain,Achin Jain;Matthew O'Kelly;Pratik Chaudhari;Manfred Morari,personal;personal;personal;personal,BayesRace: Learning to race autonomously using prior experience,2021,booktitle,Proceedings of the 2020 Conference on Robot Learning,,https://proceedings.mlr.press/v155/jain21b.html
C0019,Jiang2021PrioritizedLevel,inproceedings,Jiang,Minqi Jiang; Edward Grefenstette; Tim Rocktäschel,personal;personal;personal,Prioritized Level Replay,2021,booktitle,Proceedings of the 38th International Conference on Machine Learning,,https://proceedings.mlr.press/v139/jiang21b.html
C0016,Jiang2021ReplayGuided,inproceedings,Jiang,Minqi Jiang; Michael Dennis; Jack Parker-Holder; Jakob Foerster; Edward Grefenstette; Tim Rocktäschel,personal; personal; personal; personal; personal; personal,Replay-Guided Adversarial Environment Design,2021,booktitle,Advances in Neural Information Processing Systems 34,,https://proceedings.neurips.cc/paper_files/paper/2021/hash/0e915db6326b6fb6a3c56546980a8c93-Abstract.html
C0157,Joshi2023SimReal,misc,Joshi,Bhaskar Joshi; Dhruv Kapur; Harikumar Kandath,personal;personal;personal,Sim-to-Real Deep Reinforcement Learning based Obstacle Avoidance for UAVs under Measurement Uncertainty,2023,howpublished,arXiv,10.48550/arxiv.2303.07243,https://arxiv.org/abs/2303.07243
C0185,Kabzan2019FSSIM,misc,Kabzan,Juraj Kabzan,personal,FSSIM,2019,howpublished,Official GitHub repository,,https://github.com/AMZ-Racing/fssim
C0094,Kalaria2023AdaptivePlanning,misc,Kalaria,Dvij Kalaria; Qin Lin; John M. Dolan,personal;personal;personal,Adaptive Planning and Control with Time-Varying Tire Models for Autonomous Racing Using Extreme Learning Machine,2023,howpublished,arXiv,10.48550/arxiv.2303.08235,https://arxiv.org/abs/2303.08235
C0093,Kalaria2023TowardsSafety,misc,Kalaria,Dvij Kalaria; Qin Lin; John M. Dolan,personal;personal;personal,Towards Safety Assured End-to-End Vision-Based Control for Autonomous Racing,2023,howpublished,arXiv,10.48550/arxiv.2303.02267,https://arxiv.org/abs/2303.02267
C0043,Kapania2020LearningRacetrack,article,Kapania,Nitin R. Kapania;J. Christian Gerdes,personal;personal,Learning at the Racetrack: Data-Driven Methods to Improve Racing Performance Over Multiple Laps,2020,journal,IEEE Transactions on Vehicular Technology,10.1109/tvt.2020.2998065,
